table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,
"Table 1: Annual Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico: April 1, 2000 to July 1, 2008",,,,,,,,,,,
Geographic Area,Population Estimates,,,,,,,,,"April 1, 2000",
,"July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
United States,"304,059,724","301,290,332","298,362,973","295,560,549","292,892,127","290,210,914","287,726,647","285,039,803","282,171,936","281,424,602","281,421,906"
Northeast,"54,924,779","54,761,693","54,627,987","54,531,266","54,459,795","54,319,451","54,134,361","53,910,648","53,666,821","53,594,797","53,594,378"
Midwest,"66,561,448","66,312,562","66,047,830","65,785,263","65,566,340","65,299,248","65,058,431","64,805,832","64,492,694","64,395,207","64,392,776"
South,"111,718,549","110,335,133","108,716,622","107,244,182","105,745,280","104,339,107","103,125,430","101,838,852","100,558,339","100,235,848","100,236,820"
West,"70,854,948","69,880,944","68,970,534","67,999,838","67,120,712","66,253,108","65,408,425","64,484,471","63,454,082","63,198,750","63,197,932"
.Alabama,"4,661,900","4,626,595","4,587,564","4,537,299","4,506,574","4,486,598","4,469,906","4,462,832","4,451,687","4,447,355","4,447,100"
.Alaska,"686,293","681,111","676,301","668,625","660,975","650,426","642,391","633,160","627,428","626,931","626,932"
.Arizona,"6,500,180","6,353,421","6,178,251","5,961,239","5,750,475","5,585,512","5,449,195","5,303,632","5,166,810","5,130,607","5,130,632"
.Arkansas,"2,855,390","2,830,557","2,804,199","2,768,918","2,740,191","2,717,909","2,701,889","2,689,601","2,678,217","2,673,386","2,673,400"
.California,"36,756,666","36,377,534","36,121,296","35,885,415","35,629,666","35,307,398","34,916,495","34,507,030","33,998,767","33,871,650","33,871,648"
.Colorado,"4,939,456","4,842,770","4,751,474","4,662,734","4,600,050","4,548,339","4,503,156","4,431,918","4,327,788","4,302,015","4,301,261"
.Connecticut,"3,501,252","3,489,868","3,487,896","3,478,714","3,475,351","3,467,932","3,448,261","3,428,208","3,411,714","3,405,604","3,405,565"
.Delaware,"873,092","861,953","850,366","838,519","825,682","814,262","803,774","794,498","786,404","783,595","783,600"
.District of Columbia,"591,833","587,868","585,419","582,049","579,521","577,371","579,112","577,678","571,723","572,053","572,059"
.Florida,"18,328,340","18,199,526","18,019,093","17,702,476","17,313,811","16,937,337","16,652,679","16,340,734","16,047,246","15,982,813","15,982,378"
.Georgia,"9,685,744","9,523,297","9,318,715","9,093,958","8,910,741","8,732,924","8,583,674","8,418,592","8,230,053","8,186,812","8,186,453"
.Hawaii,"1,288,198","1,277,356","1,275,264","1,264,468","1,251,532","1,238,333","1,227,391","1,217,955","1,211,479","1,211,538","1,211,537"
.Idaho,"1,523,816","1,496,145","1,461,183","1,424,127","1,390,329","1,363,010","1,341,408","1,320,732","1,299,474","1,293,955","1,293,953"
.Illinois,"12,901,563","12,825,809","12,759,673","12,704,063","12,665,718","12,611,047","12,565,228","12,510,596","12,437,888","12,419,660","12,419,293"
.Indiana,"6,376,792","6,335,862","6,294,124","6,248,569","6,210,801","6,178,828","6,146,974","6,123,942","6,091,392","6,080,522","6,080,485"
.Iowa,"3,002,555","2,983,360","2,967,270","2,951,775","2,942,739","2,933,407","2,929,395","2,929,294","2,928,046","2,926,381","2,926,324"
.Kansas,"2,802,134","2,777,382","2,756,267","2,742,204","2,731,069","2,722,070","2,712,561","2,701,346","2,692,681","2,688,816","2,688,418"
.Kentucky,"4,269,245","4,236,308","4,199,440","4,165,958","4,135,567","4,110,922","4,086,754","4,066,442","4,048,831","4,042,284","4,041,769"
.Louisiana,"4,410,796","4,373,310","4,243,634","4,495,627","4,487,830","4,473,558","4,465,215","4,460,395","4,468,879","4,468,968","4,468,976"
.Maine,"1,316,456","1,315,398","1,313,355","1,311,044","1,307,904","1,302,729","1,293,667","1,284,663","1,277,179","1,274,922","1,274,923"
.Maryland,"5,633,597","5,618,899","5,602,258","5,575,552","5,538,989","5,495,009","5,439,327","5,375,659","5,310,451","5,296,516","5,296,486"
.Massachusetts,"6,497,967","6,467,915","6,443,424","6,434,343","6,437,414","6,441,440","6,433,043","6,407,269","6,362,583","6,349,113","6,349,097"
.Michigan,"10,003,422","10,049,790","10,083,878","10,093,266","10,090,280","10,065,881","10,037,303","10,004,341","9,955,146","9,938,492","9,938,444"
.Minnesota,"5,220,393","5,182,360","5,143,134","5,104,890","5,078,014","5,046,708","5,016,643","4,982,339","4,933,787","4,919,492","4,919,479"
.Mississippi,"2,938,618","2,921,030","2,896,713","2,898,209","2,884,596","2,866,711","2,858,013","2,853,061","2,848,293","2,844,666","2,844,658"
.Missouri,"5,911,605","5,878,399","5,832,977","5,785,130","5,742,650","5,704,639","5,675,641","5,641,994","5,605,868","5,596,678","5,595,211"
.Montana,"967,440","956,624","945,428","934,888","925,969","916,754","909,859","905,854","903,283","902,190","902,195"
.Nebraska,"1,783,432","1,769,473","1,759,779","1,751,069","1,741,450","1,732,873","1,724,236","1,717,705","1,713,194","1,711,266","1,711,263"
.Nevada,"2,600,167","2,554,344","2,484,196","2,401,671","2,323,875","2,233,830","2,164,518","2,093,973","2,018,244","1,998,257","1,998,257"
.New Hampshire,"1,315,809","1,312,256","1,308,824","1,300,530","1,292,064","1,281,260","1,270,701","1,256,625","1,240,361","1,235,785","1,235,786"
.New Jersey,"8,682,661","8,653,126","8,640,218","8,634,657","8,620,770","8,589,562","8,547,410","8,490,942","8,430,913","8,414,360","8,414,350"
.New Mexico,"1,984,356","1,964,402","1,937,916","1,912,884","1,889,266","1,867,909","1,848,986","1,828,330","1,820,704","1,819,041","1,819,046"
.New York,"19,490,297","19,429,316","19,367,028","19,336,376","19,301,113","19,230,877","19,161,573","19,088,220","18,998,429","18,976,816","18,976,457"
.North Carolina,"9,222,414","9,041,594","8,845,343","8,661,061","8,523,199","8,409,660","8,311,263","8,199,913","8,078,824","8,046,500","8,049,313"
.North Dakota,"641,481","637,904","636,453","635,222","636,196","632,689","633,521","636,211","641,183","642,195","642,200"
.Ohio,"11,485,910","11,477,641","11,458,390","11,450,954","11,445,095","11,430,306","11,410,582","11,391,298","11,363,719","11,353,160","11,353,140"
.Oklahoma,"3,642,361","3,608,123","3,568,132","3,530,087","3,511,960","3,496,157","3,482,946","3,463,387","3,453,861","3,450,640","3,450,654"
.Oregon,"3,790,060","3,735,549","3,680,968","3,621,939","3,576,262","3,551,877","3,517,982","3,470,716","3,430,828","3,421,437","3,421,399"
.Pennsylvania,"12,448,279","12,419,930","12,388,055","12,351,881","12,335,652","12,317,647","12,298,775","12,284,522","12,285,041","12,281,052","12,281,054"
.Rhode Island,"1,050,788","1,053,136","1,058,991","1,064,439","1,071,095","1,071,302","1,065,937","1,058,065","1,050,725","1,048,319","1,048,319"
.South Carolina,"4,479,800","4,404,914","4,324,799","4,249,385","4,196,799","4,143,420","4,102,211","4,061,844","4,023,396","4,011,809","4,012,012"
.South Dakota,"804,194","795,689","787,380","779,315","773,539","766,440","761,709","758,705","755,657","754,837","754,844"
.Tennessee,"6,214,888","6,149,116","6,068,306","5,983,211","5,906,936","5,849,563","5,799,093","5,753,497","5,703,094","5,689,270","5,689,283"
.Texas,"24,326,974","23,843,432","23,367,534","22,811,128","22,424,884","22,062,119","21,713,397","21,333,928","20,946,049","20,851,811","20,851,820"
.Utah,"2,736,424","2,668,925","2,585,155","2,501,262","2,439,852","2,380,462","2,334,462","2,291,066","2,244,210","2,233,204","2,233,169"
.Vermont,"621,270","620,748","620,196","619,282","618,432","616,702","614,994","612,134","609,876","608,826","608,827"
.Virginia,"7,769,089","7,698,775","7,628,347","7,546,725","7,454,688","7,363,300","7,276,785","7,188,251","7,104,354","7,079,025","7,078,515"
.Washington,"6,549,224","6,449,511","6,360,529","6,254,579","6,179,645","6,110,202","6,055,613","5,987,181","5,911,104","5,894,143","5,894,121"
.West Virginia,"1,814,468","1,809,836","1,806,760","1,804,020","1,803,312","1,802,287","1,799,392","1,798,540","1,806,977","1,808,345","1,808,344"
.Wisconsin,"5,627,967","5,598,893","5,568,505","5,538,806","5,508,789","5,474,360","5,444,638","5,408,061","5,374,133","5,363,708","5,363,675"
.Wyoming,"532,668","523,252","512,573","506,007","502,816","499,056","496,969","492,924","493,963","493,782","493,782"
,,,,,,,,,,,
Puerto Rico,"3,954,037","3,941,160","3,926,698","3,910,707","3,893,931","3,876,637","3,858,272","3,837,768","3,814,413","3,808,603","3,808,610"
"Note: The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program and geographic program revisions.  See Geographic Terms and Definitions at https://www.census.gov/popest/geographic/ for a list of the states that are included in each region.",,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,
"Table 1: Annual Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico: April 1, 2000 to July 1, 2008 (NST-EST2008-01)",,,,,,,,,,,
"Source: Population Division, U.S. Census Bureau",,,,,,,,,,,
"Release Date: December 22, 2008",,,,,,,,,,,
